benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/01-integer-programming-20-30-40.cnf.bz2,Undominated-LC-MapleLCMDiscChronoBT-DL,default,5000.02,timeout (wallclock),UNKNOWN,0.013214,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,cadical-alluip,default,2210.74,complete,SAT-VERIFIED,0.01713,--
sat/01-integer-programming-20-30-40.cnf.bz2,cadical-alluip-trail,default,2215.07,complete,SAT-VERIFIED,0.017191,--
sat/01-integer-programming-20-30-40.cnf.bz2,cadical-trail,default,1154.36,complete,SAT-VERIFIED,0.015091,--
sat/01-integer-programming-20-30-40.cnf.bz2,cryptominisat-ccnr,default,4061.36,complete,SAT-VERIFIED,0.023746,--
sat/01-integer-programming-20-30-40.cnf.bz2,cryptominisat-ccnr-lsids,default,5000.04,timeout (wallclock),UNKNOWN,0.0244341,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,cryptominisat-walksat,default,5000.02,timeout (wallclock),UNKNOWN,0.0323369,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,exp_L_MLD_CBT_DL,default,5000.03,timeout (wallclock),UNKNOWN,0.024834,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,exp_V_LGB_MLD_CBT_DL,default,5000.02,timeout (wallclock),UNKNOWN,0.022693,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,exp_V_L_MLD_CBT_DL,default,5000.01,timeout (wallclock),UNKNOWN,0.0175171,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,exp_V_MLD_CBT_DL,default,5000.03,timeout (wallclock),UNKNOWN,0.0205199,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,glucose3.0,proofs,5000.02,timeout (wallclock),UNKNOWN,0.0163809,TIMEOUT
sat/01-integer-programming-20-30-40.cnf.bz2,upGlucose-3.0_PADC,default,5000.01,timeout (wallclock),UNKNOWN,0.02326,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,CaDiCaL-sc2020,default,5000.03,timeout (wallclock),UNKNOWN,0.034759,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,DurianSat,default,5000.08,timeout (wallclock),UNKNOWN,0.023551,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL,5000.01,timeout (wallclock),UNKNOWN,0.0224571,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL_OVAU_Exp,5000.01,timeout (wallclock),UNKNOWN,0.027119,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,ExMapleLCMDistChronoBT,PADC_DL_OVAU_Lin,5000.01,timeout (wallclock),UNKNOWN,0.0254031,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,ExMapleLCMDistChronoBT,PSIDS_DL,5000.05,timeout (wallclock),UNKNOWN,0.0360839,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Kissat-sc2020-default,default,5000.09,timeout (wallclock),UNKNOWN,0.023932,TIMEOUT
sat/01-integer-programming-5-10-100.cnf.bz2,Kissat-sc2020-sat,default,5000.02,timeout (wallclock),UNKNOWN,0.017997,TIMEOUT
