e13905790d8d6e35999ee153f50bbdee unsat timeout timeout 883.511 1529.026 timeout timeout 3867.207 timeout timeout 26.503 timeout 3238.359 timeout timeout
da7a564a661110a17274c2082c83d5de unsat timeout timeout timeout timeout timeout timeout timeout timeout timeout 285.453 timeout timeout timeout timeout
c1c5f27a2c47486a745e7aa3516fb24d sat timeout timeout timeout timeout timeout timeout timeout 3130.87 3214.282 timeout timeout timeout timeout timeout
f86dad4ba35369eb720a0c9ddc45037a sat 22.722 16.695 3.201 241.24 1471.235 timeout timeout 535.174 539.638 664.615 273.804 16.966 timeout 31.272
92c17c00d862668de6e6c45d4eecdc75 sat 866.977 119.671 1730.781 1423.83 31.855 timeout timeout timeout timeout 1343.495 710.393 timeout timeout 621.307
9276ce38c625b2d00de247f8588f1542 sat 181.694 4024.673 407.452 782.619 109.9 timeout timeout timeout timeout 826.025 2298.284 timeout timeout 703.324
3f4946b0d78b8b112b8e7737ae6db0f1 sat 1232.88 3926.638 3226.835 timeout timeout timeout timeout timeout timeout timeout 1027.404 timeout timeout 240.281
ba8621490e4e7212fffdb55fb6bd282d sat timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout 4212.612 timeout timeout 2155.577
940aeb30818a6b0656c9906a32bcd7bc sat timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout 871.098 timeout timeout 936.385
ddfd170730b58b283d98518477b52fe5 sat 284.676 667.764 timeout 1645.519 timeout timeout timeout timeout timeout 271.189 1451.247 30.422 timeout 76.222
b8a14a939eb373007308e61e44db9da5 sat 2297.201 58.739 895.411 1132.709 timeout timeout timeout timeout timeout timeout timeout timeout timeout 389.287
12bb20e3ad925897977f85af71db7c94 sat timeout 568.753 timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
3d0b118834cdf8e692a47ac623778b1d sat 780.932 timeout 2085.574 2071.541 timeout timeout timeout timeout timeout timeout 4985.999 timeout timeout 747.377
eda21c1adf5ffb7da982e844f3405982 sat timeout 346.706 2804.114 3436.127 timeout timeout timeout timeout timeout timeout timeout timeout timeout 577.287
6b10e4ddf39b316ffe87d148a4626ed4 sat timeout 2517.725 793.116 1257.261 timeout timeout timeout timeout timeout timeout 460.922 timeout timeout 564.333
681b6efef89c7fbb930b76ea0ab917de sat 1386.308 1370.032 656.368 912.774 445.6 timeout timeout timeout timeout 1582.491 1699.581 timeout timeout 347.279
9b898146eb171d00db6a1c660e95011d sat timeout timeout 594.493 1000.678 4738.925 timeout timeout timeout timeout timeout 4685.067 timeout timeout 554.609
e47586f86868e83a5ebe7a3ecae204f1 unsat 69.22 79.215 11.254 12.342 67.775 17.5 36.727 218.681 211.546 21.632 22.437 20.967 44.151 59.305
3fac9d4ad62698423574608cd2c44795 sat 1675.565 1936.332 307.193 1323.812 526.127 704.666 3033.774 552.553 556.459 775.607 2719.001 1877.825 2576.204 289.742
c5de36538149b595c16b39ed0940958f sat 826.976 862.913 154.498 345.197 20.741 82.454 203.922 65.543 67.156 131.165 829.882 121.985 174.368 72.973
4dfe7816c2c198f8fd0b328d1e9672c9 unsat 1311.343 1280.505 712.528 839.665 1028.156 timeout 3501.752 3121.231 3012.183 186.927 306.682 4222.914 401.899 323.88
0a11a3dcc342fba24aeda274ad56d478 unsat 950.085 565.976 245.279 748.816 404.379 1959.436 2590.843 389.704 386.931 71.996 122.985 2144.584 315.815 251.737
c8427b1218785dcf28539e220f800864 unsat 964.691 657.292 321.694 585.499 692.305 3453.824 526.053 690.627 679.119 130.945 255.724 583.865 319.586 386.315
8bf857909f1117a9e29a4788bf77d485 unsat 1937.86 1855.837 322.319 failed 1286.293 773.14 520.058 4331.055 4560.377 878.782 timeout 425.63 1134.17 1130.858
ba5451cace1bb09e2d36b9f34c19146e unsat timeout timeout 804.695 951.33 timeout 2903.405 1507.631 timeout timeout 2355.977 timeout 1506.042 2704.388 4198.409
042846b7b23a617ad1730e9eb2dbdceb unsat 511.088 571.902 67.871 93.132 255.162 49.936 92.957 521.91 529.277 175.776 257.151 60.128 181.253 38.53
eb18bb51407d6d53f2e48f8938840dfa unsat 3267.236 3252.179 failed 706.271 1054.658 557.646 573.952 2276.336 2270.465 346.433 306.2 405.798 1112.895 313.597
dcea07b4545f04dd2db6b6f6c8be6826 sat 129.686 114.683 43.319 37.407 126.678 36.117 75.21 377.773 373.196 84.376 54.87 51.406 245.156 49.245
85071adde6e3118aef323066387a4aac sat 31.516 32.528 11.259 8.648 31.724 17.459 26.373 21.921 20.757 79.174 30.355 15.327 97.144 18.294
4a00f482957850eed1b7ac2ec53d43ea sat 413.53 347.609 85.828 378.166 383.777 380.005 498.581 2151.299 2092.434 154.406 1202.204 294.742 1627.561 timeout
0ae917c2e0c1d39cbe411c29b2f5ff08 sat 650.094 timeout 1648.617 1929.083 3861.442 timeout 3701.71 timeout timeout 3066.294 timeout 3820.006 timeout timeout
81f247cf04746d7e0fb3ea77a760a0af unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
bf31eea5a8b87410f1fb83064e2cb82e unsat 4.806 4.333 1.868 3.676 0.141 0.128 0.668 0.098 0.101 0.245 0.35 0.388 1.961 1.116
be805e2615367977aa2ef37681a01956 unsat 1521.568 1492.541 190.215 178.716 1337.506 650.316 263.422 timeout timeout timeout timeout 333.901 2045.259 2166.555
9421f6e82c45ee7b58d5bcbe860ca3cc unsat timeout timeout 3764.095 3154.854 timeout 3695.587 1791.72 timeout timeout timeout timeout 1584.482 timeout 2600.263
4165a3f519e2381da2f25f43cd325d3f unsat 167.627 176.755 26.769 71.067 12.374 3.22 24.325 17.534 17.42 16.692 34.998 14.504 37.516 11.675
72a1b82b2c1f17b0e5e0d4a44937d848 unsat 144.329 144.343 16.998 19.755 479.411 13.854 21.323 32.859 32.738 42.663 187.052 19.657 124.272 failed
770180d477dbbf2d68c8812bb0a235e5 unsat 116.91 190.068 27.587 failed 1920.886 70.734 43.498 61.783 62.357 91.065 540.75 30.408 156.202 92.659
938be7a03ff1f4ac3b09faa40f7d12b4 sat 74.135 16.062 21.848 63.175 15.577 107.893 214.475 54.494 55.289 74.6 65.778 83.699 189.412 35.268
70d67c4d9aeb1412df80f33a06121cb9 sat 795.557 305.521 634.511 1181.618 108.701 250.535 3885.162 timeout timeout 551.071 300.6 4415.591 timeout 500.389
e207ba2df64495327f715e08155a220f sat timeout timeout 4662.523 4720.869 timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
0b1041a1e55af6f3d2c63462a7400bd2 sat 118.382 101.382 66.376 188.173 113.689 86.352 115.285 550.501 553.256 269.668 62.754 163.921 1739.495 126.325
45a09efb026036ff4b8d19024a7563a9 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
c602a712213cb8bb2d132bf217a430b9 unsat 1204.443 1215.144 199.691 446.62 458.058 132.073 289.596 316.028 327.05 966.08 4310.448 205.665 488.685 4765.481
bd3f31c8c7ee0810b9853a88eb626b81 sat timeout timeout timeout 1626.475 timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
1c3ead67cae5d59d980d770049594c12 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
8e5e7c6eb2f50bf91a03da4958582ab4 unsat timeout timeout 325.385 389.711 2750.729 1710.715 1119.416 4929.687 4955.012 2096.504 1272.751 1269.182 1959.419 329.379
1b14628a6605fc607c6d99d3d783251a sat 249.672 161.71 198.446 90.581 244.096 14.008 timeout 815.67 852.594 190.868 timeout 83.241 2562.019 80.652
276fe9730ff09cafd8c59f44c9c61b4d sat 130.272 106.3 907.526 timeout 110.248 51.741 22.784 timeout timeout 105.666 timeout 17.106 timeout 471.536
53a7ac1b3073205e8525b2379ab77554 unsat timeout timeout 558.457 637.755 timeout timeout 3738.325 timeout timeout 3370.473 1641.942 timeout 3063.649 1099.491
d8e3290dab78fcd69c92a73c03f70630 sat 182.651 99.684 timeout 1663.716 74.153 934.298 11.046 timeout timeout timeout timeout 301.113 timeout 710.474
5fea03f266f60a417e85af49a5d769e5 sat 233.378 308.413 2323.975 timeout 3083.052 timeout timeout timeout timeout timeout timeout 2662.315 timeout 4072.094
a19a069b6c4b8ea97285ab5a859b3253 sat 213.27 1449.499 timeout timeout 2333.165 timeout timeout timeout timeout 1514.843 timeout timeout timeout 46.39
fc538412229f86bc7016b8bc0aca3924 unsat timeout timeout 878.325 2748.7 446.056 1141.827 2520.594 349.044 364.299 2185.387 2965.335 1539.832 795.754 419.354
976649ddfe27c60bacb508ecd3499f39 unsat timeout timeout 878.227 2695.899 314.634 728.124 1779.302 249.317 265.438 1209.895 2416.661 1191.415 771.925 474.381
6b6cab90664478877c3a63248c9fb961 unsat 580.462 563.343 104.598 154.509 598.455 152.38 208.715 490.219 476.108 409.851 418.499 146.308 365.313 327.45
4a06483dc891f16c60ee8095e982b455 unsat 1513.187 1591.239 122.937 failed 404.342 250.786 389.563 1257.679 1225.795 379.655 300.6 278.34 557.101 timeout
2dc39ea808c5fffc08d2ab8c48881c80 unsat timeout timeout 1663.813 3014.386 timeout 2816.535 1796.037 timeout timeout 644.754 timeout 1649.851 timeout timeout
1bb9fe12b4fb50e98903ee87a51d6472 unsat 707.15 790.262 37.455 64.808 597.159 126.652 149.109 466.173 462.243 87.03 83.221 107.868 278.428 496.826
3e912cd2a499b8f956246b866e2f9f64 unsat 424.033 393.041 failed 39.813 189.454 106.872 124.101 383.5 384.95 82.39 830.975 91.213 265.412 32.244
5dea66a04fbaecf10dce69fa9c0e3665 unsat 477.992 397.963 38.149 failed 224.644 118.768 169.445 377.419 392.112 93.152 1040.875 122.941 271.851 38.249
0f46a676eab0d62b0b59356cb39e22ae unsat 383.052 352.052 35.239 38.314 150.977 97.284 116.947 309.193 307.668 76.134 715.995 85.519 212.911 33.261
e4693381ca70fb32a9e560279156afcc unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
5a0b7708bd8eb4c1d26ea32e56bf47cf unsat 44.191 44.195 15.462 17.577 65.297 28.624 89.3 50.485 49.989 139.216 39.247 49.955 27.687 14.079
99ad93fc5e796a2e617e420f907aaa88 unsat timeout timeout timeout timeout timeout timeout timeout timeout timeout 0.377 0.069 timeout timeout timeout
0f4911e1180b80b45e9db7ec5e73eb66 sat 1116.432 1787.368 204.74 763.954 timeout timeout timeout 252.84 249.822 timeout timeout timeout 1135.554 592.017
6147e666b75f603a4c4490d21ab654cd unsat 102.377 106.369 timeout 44.395 189.484 29.405 51.84 106.234 109.46 379.219 107.937 35.686 88.926 23.151
b5df8842330d20ec7102405549d282ed unsat 214.448 218.441 70.212 97.197 510.636 90.093 104.634 316.978 326.11 799.918 261.504 73.763 170.535 40.18
7a057dad354465237f3e14900e400860 unsat 117.381 113.384 46.203 49.931 199.729 39.069 56.663 109.267 109.986 573.808 87.307 40.25 99.035 20.317
7ec0edbb9a103444312504dfd67e0e72 unsat 168.387 183.422 56.494 failed 315.09 53.269 67.64 200.163 193.249 392.723 156.851 50.283 143.189 28.163
7a700945b9efe7d98a64e6d5da3c1aa7 unsat 185.244 176.205 127.861 123.366 168.718 682.232 857.241 2013.538 2009.479 0.295 0.049 1219.212 416.908 48.121
6088fba41b1711d09d7ea147870434d0 unsat timeout timeout 647.43 1091.107 1747.876 2735.822 2348.841 timeout timeout 1070.433 212.269 2345.023 2356.852 577.313
f3bda5fcae82cfa27460df877965eeca unsat 103.963 113.967 32.296 37.198 80.088 29.053 60.51 124.18 123.088 63.442 88.461 35.832 66.917 33.25
b7f30726f549bf71492647d7e386c1f3 unsat timeout timeout 3098.968 timeout 238.246 timeout timeout 369.858 375.282 957.57 1407.885 timeout 114.633 timeout
8971386b2aa05d4029deaead24340fff unsat 1558.024 timeout 1850.716 4190.6 382.142 timeout timeout 988.973 969.015 3267.27 timeout timeout 296.474 timeout
2aab943d5ee5d7b3888f1ca30a453c4f unsat 385.478 391.55 289.228 failed 174.212 381.625 842.701 931.993 961.402 1287.118 1841.781 584.105 647.531 95.497
e4c32dcfef4f80078111484c8eed84fd unsat 55.492 37.999 failed failed 55.728 142.184 76.95 55.614 56.078 59.872 162.748 75.386 22.473 483.783
3fd8869c1a5a7b8e4889a530e1ed2ea7 unsat 65.868 65.428 failed 86.312 96.452 321.869 127.616 75.761 75.917 187.222 298.776 113.908 33.765 timeout
c39ff9218232adb739cd31f4c70fb316 unsat 609.898 612.803 73.775 88.652 397.68 194.145 196.841 619.213 594.449 312.321 910.595 140.287 365.34 163.072
adeb4b7acbe99e55349d830bcf7da6bc sat 8.168 10.135 21.377 20.308 27.861 31.324 13.774 155.257 151.963 74.917 90.289 46.144 143.617 failed
9aaadc9d5e63938b3711ea6689579055 sat 53.06 76.027 7.913 32.878 288.558 98.376 21.698 33.705 33.731 79.004 554.787 13.312 4629.603 25.184
c76f3c6c2e2eae85fc5f3d499f3db88d unsat 84.087 78.143 41.441 failed incorrect 38.194 73.299 129.207 134.411 181.36 141.941 42.819 85.636 51.37
446faa6735e7611dddf64e64162d0156 unsat 2652.772 2883.878 failed 425.805 891.62 1179.585 1280.115 timeout timeout 1122.43 910.066 1089.152 1201.139 121.345
5a0120a44efe84c0cb4e58cebc3c4982 unsat 327.237 236.264 34.154 38.922 186.159 139.707 148.489 510.282 505.166 466.308 29.043 95.646 131.157 18.357
cec5d86e0eae8234ca7c29b31c4674a6 sat 16.121 15.15 4.403 8.174 1.523 1.357 10.933 3.647 3.57 17.461 11.558 7.007 3.578 5.262
0900255c001ced2b14a6cadc0403967e sat 30.443 32.433 12.46 18.897 12.926 33.525 118.704 44.664 43.954 130.379 268.632 49.758 94.002 16.389
e3554a7be21336aa38a5fd7c7a1c9261 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
1aa8a801f9c01f07c52e19d7a005233d unsat 1499.832 1503.205 632.598 1200.886 1552.887 1980.193 timeout 859.541 853.775 447.488 1736.146 3415.347 1125.201 255.014
edef62a006514cf5ded0da277c1ecd94 sat 1506.684 1487.281 648.21 1212.339 1521.66 1975.052 timeout 829.039 663.225 908.377 286.244 3378.684 1356.454 incorrect
9d7caee59e9d362d132f1cd785de8a0b unsat 2747.422 2748.73 1557.792 3004.459 4801.645 timeout timeout 2725.358 2782.61 2180.937 timeout timeout 3244.141 668.228
cc1a816e624e9ef4b3d833c5a43d3651 sat 2660.135 2679.462 1590.557 2898.654 4873.271 timeout timeout 2132.829 2132.017 1847.946 737.625 timeout 3987.842 incorrect
ddc308b079b032211ac8e4ae136c2626 unsat 2962.012 3289.628 444.021 1080.457 222.952 573.554 737.092 479.189 482.285 176.271 2962.123 477.551 396.141 198.495
88849daabda2e712f659c6edbc142229 sat 2069.289 2199.386 464.805 1063.53 341.055 250.132 338.193 559.322 574.947 139.436 1102.228 235.827 1209.492 291.321
60522b751c6ec8f1f02e0c95ae60b721 unsat 2616.825 2487.997 600.671 1052.59 555.644 505.765 589.851 1080.401 1034.029 200.309 timeout 371.195 1500.506 823.943
7a5e40de64066f1886156ce2f6ad20fb sat timeout timeout 1630.757 timeout 1148.097 2739.017 1885.852 1748.213 1784.46 failed timeout 899.676 timeout timeout
e01c39b7b41c9ff1621579b747254fab sat 2246.988 2241.747 538.568 1273.9 532.996 1312.694 2813.019 323.894 328.132 317.697 123.875 1917.37 470.739 incorrect
f2141cde748f165bac48de382470d993 sat 2343.998 2343.253 529.904 1208.225 553.136 1383.329 2856.193 496.371 511.741 296.402 208.98 1928.302 525.704 incorrect
d72b0684dd662ca6475f6caee6a1b450 unsat 4230.381 4489.675 578.012 1505.085 279.331 470.294 620.128 426.349 417.836 509.66 436.956 380.26 764.804 433.468
f44b3d7c699c94a24a017aa34c1a058e unsat 1454.272 1409.958 377.492 1014.394 516.242 1129.884 2540.654 394.145 414.265 245.161 1689.268 1674.541 484.162 262.191
592078a0b65e96c18e866d4a96d81bab sat 1378.792 1391.065 389.381 869.147 475.955 1067.392 2507.962 277.956 284.983 286.529 195.287 1648.393 346.433 1465.506
02c6fe8483e4f4474b7ac9731772535d unsat 1945.591 1941.431 622.342 1427.416 778.559 2644.249 timeout 861.59 827.505 480.739 2460.788 3830.15 722 542.348
9a85720c365680d985924c786fabad81 unsat timeout 4490.385 666.132 1753.31 319.648 514.332 1678.585 632.456 636.139 98.504 timeout 1761.646 3207.959 432.164
6392cea0e1c5c95773c79cd143e2a934 unsat timeout timeout 1295.109 2984.993 243.811 1122.008 1209.677 285.032 296.824 170.912 timeout 745.8 4259.462 931.787
6f82682182394eb554a47a55f6c4453e unsat timeout timeout 1374.522 3203.71 1354.498 650.868 442.451 2227.189 2325.409 157.338 2872.176 314.781 timeout 548.772
b37dd84a1ca56a24876590bd60c5cf57 unsat 100.964 86.951 31.399 failed 129.771 40.78 69.941 69.503 72.295 134.83 398.148 39.61 66.393 40.278
4ea29c4f64c7d368f2cb7d4319a8ce1e unsat 328.171 292.172 56.19 87.838 2089.537 44.505 102.513 255.319 243.904 134.133 1403.707 58.001 322.238 79.425
abf56d02b82b68d7b372f8a0eaaeb1f3 unsat 4388.237 4219.242 746.35 676.282 timeout 973.278 821.693 2695.583 2767.175 2782.428 timeout 714.415 3862.142 timeout
ddeff6f803b4d0dbb79c841589d3fff9 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
ac6578650f8c5211fbaa1f86a46ccf6e unsat 438.759 491.706 327.778 155.651 199.681 43.008 188.572 202.2 201.082 158.016 1214.183 112.378 307.475 timeout
5553fec254b32349e0e48c7ee1e2d6c7 unsat 337.978 360.683 33.521 58.627 77.405 20.174 35.49 170.08 169.352 557.082 timeout 27.721 234.463 38.41
caead0e04b6de4365822b25dfd55967f sat 1311.4 1343.354 timeout timeout 3760.408 timeout 2734.019 timeout timeout timeout timeout 4480.33 timeout 700.544
bb2743e5b5dc4987483efc0b1e7572ad sat 569.06 2097.328 timeout 1163.098 3452.565 timeout 1334.516 timeout timeout 934.74 timeout 1231.56 timeout 4952.507
b7770ebc4d821c53130da4183a3dae50 sat 1431.214 3004.73 230.123 2729.794 1279.016 4461.037 1300.828 timeout timeout timeout timeout 1141.127 timeout 20.222
d95c2aa334c098b0a41e0f96ab15cd1d sat 939.096 207.938 3706.096 timeout 148.885 4000.107 1502.745 timeout timeout 2134.46 timeout 1021.134 timeout 2205.187
85b3227365fe9bf60b08b456c550bc85 sat 140.897 183.866 553.503 timeout 917.288 893.954 1037.987 timeout timeout 232.749 timeout 1826.643 timeout 66.295
84ace37814debb04200a7cf10e31f896 sat 200.867 1115.161 2687.784 timeout 4020.436 2197.485 1107.518 2486.99 2472.598 1736.168 timeout 3358.856 timeout 1877.8
d08c3d55c88b3c2577800b544399553e sat 361.972 993.034 1271.635 2412.334 959.996 168.425 36.241 timeout timeout 700.048 1789.031 650.185 timeout 867.67
514f36038ad462677ca722a1d55cac13 sat 806.999 111.821 464.381 282.713 25.9 308.808 135.67 4943.151 timeout 248.575 1586.631 41.596 timeout 352.439
2e29192bee7f468c3c6e1b7088829575 sat 874.373 244.04 529.253 95.359 59.001 1312.668 545.92 3540.355 3532.212 388.842 3141.382 303.557 timeout 126.31
8b6635639b3d4c02c28f28410f286d85 sat 80.894 120.991 66.469 150.593 422.514 569.849 109.498 270.935 263.611 522.387 2834.828 191.514 3176.796 46.258
c82eee3badbc8432dad72d1d575a0ea6 sat 192.896 135.825 201.321 178.636 20.771 69.95 51.445 964.846 961.296 565.42 1909.731 92.045 978.199 14.172
af66c2b2ff8a9cd900d9f2f79e53f6a7 sat 83.641 84.606 14.095 58.962 1.82 0.927 5.322 1.615 1.554 1.34 3.169 2.739 20.227 2.611
343885733b441b8dbf2d90886f39c746 unsat 1004.102 1090.886 94.307 103.606 508.201 122.198 135.322 616.039 619.624 418.759 4289.342 94.71 540.129 123.27
c3c80c8b7e9a4eb4c99be20bee4e2c48 unsat timeout timeout timeout timeout timeout timeout timeout timeout timeout 29.245 timeout timeout timeout timeout
3f266eb6ee4251b947c582f7c6a59d67 unsat 1261.961 900.904 107.837 124.607 874.869 107.367 172.57 544.625 561.442 472.484 timeout 102.338 870.326 timeout
02627689047d06fbb642eef14768d751 unsat 479.331 489.482 73.076 207.011 120.225 85.364 52.699 312.835 310.777 27.742 403.767 32.68 212.471 40.424
e8466aed73739b7d020a52c81a4ebad2 unsat 501.136 551.599 62.935 200.25 65.421 10.848 51.875 863.283 877.802 27.66 65.852 33.963 357.916 240.248
310c8feaba5b17320db0b224bfb9478b unsat 428.815 409.953 73.914 225.361 71.773 15.955 55.259 549.151 545.593 55.833 1885.957 37.443 85.778 131.331
d9f5fe87dfb9d09fab79247f1a5b4e38 unsat 352.994 411.901 67.952 186.566 78.235 15.141 53.111 204.473 209.577 44.316 1341.084 26.153 712.658 36.841
a5d5c8ce132b1fc0e11ccd557c61bd5c unsat 371.328 390.891 59.509 227.966 34.504 13.005 54.557 368.085 353.548 20.437 timeout 28.711 746.795 153.762
5d65c8ec63b606c54ed75f0f3e0529e6 unsat 366.747 363.026 63.44 193.885 188.304 138.859 53.001 117.59 122.417 38.123 1298.595 30.959 62.043 89.861
5d357f1e4b5abc96c90d305f629edd5c unsat 457.767 470.411 87.565 257.926 21.311 32.932 61.857 163.259 160.912 86.046 75.876 42.348 1202.502 234.666
6d9b2fef1a2d5d26c96d654d1d85d06d sat 830.739 713.191 94.567 320.479 17.351 639.957 43.594 414.456 415.639 12.629 564.379 731.819 2194.142 1411.78
817ce8d840cd29ce88294362ec9a3a5a sat 587.373 603.008 137.892 273.125 16.526 500.818 55.111 1648.818 1708.249 13.047 1262.253 967.235 timeout 211.016
a91177361e567d8d16ecb7b847471860 sat 861.499 809 160.844 410.517 18.185 153.592 98.272 551.855 532.587 13.272 113.823 353.771 timeout 2854.95
bcdd0116493e34c147aeb8434c6f1109 sat 624.202 643.649 186.5 323.918 516.087 746.621 462.2 281.77 276.469 13.092 166.515 737.122 timeout 113.424
2c5452e8b90e57f4e0900438ff749f20 sat 746.954 687.833 126.845 369.081 250.531 750.02 354.413 1642.893 1613.854 13.513 142.704 166.061 timeout 1187.59
049072033960eab882a3b0933d414f36 unsat 281.176 287.198 58.276 failed 278.129 142.506 152.994 1428.255 1493.867 787.205 timeout 113.375 132.987 31.419
5880595d26c032ea3f58c8bfacf19754 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
2c7e530bd383ed94fd6da30cbe5d146f unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
268786234185b8a93051bee4efaad466 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
7882d223c35d697cb9e069b37bac4349 unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
b26e88b9b0d4b6f9e6ae95efe0b8df02 sat 123.735 202.755 61.25 18.777 1282.092 143.455 367.483 3232.937 3372.072 85.213 100.112 41.498 1700.596 21.274
2115182958f6cfb5a172a24f989b86dd unsat 2075.226 2244.192 125.728 168.282 1097.328 113.02 189.091 387.826 408.564 525.327 timeout 135.876 482.633 159.825
faea4b579b0010b32f001ac4b5b9415a unsat 992.824 1001.821 264.337 254.113 1350.118 376.405 163.152 incorrect incorrect 4836.66 timeout 164.44 1996.609 failed
9e4ca1fd351c9bcdd837bd19f96a25bf unsat 1259.484 1259.209 138.716 352.068 196.578 146.966 337.84 218.984 220.59 108.027 932.37 235.927 770.069 247.96
7a955f7b50c9e274fdd477006a02d609 sat 181.949 89.123 36.279 58.349 627.246 222.647 100.331 147.786 148.007 113.913 1659.716 74.674 231.637 failed
6eb1a684231ecfd5ba0617abfaa2c632 sat 642.798 189.58 334.677 321.839 1213.015 timeout 1692.207 715.609 715.025 677.027 timeout 1507.766 1690.899 119.738
245e9b5cdf197b523d57f35ac2fcb303 unsat 134.175 116.18 23.178 32.359 93.677 135.348 118.795 141.157 136.982 0.14 0.053 77.357 50.01 16.084
dddf7932f1305a4dc37ba81d0a5c6889 sat 904.708 579.613 659.449 323.96 1272.005 2756.229 445.247 timeout timeout 791.602 76.436 753.086 timeout 303.957
744199dff0b9d2fc6f3f5b73d0f924c1 unsat 323.366 321.331 37.345 48.663 95.551 23.444 71.65 177.013 175.286 129.59 182.331 41.09 124.73 103.231
b400f2362d15334aa6d05ef99e315fc1 unsat 29.733 28.832 3.982 15.165 3.413 2.137 8.008 75.076 75.598 timeout timeout 6.262 4.433 timeout
1401185fe7e0a5f1139ff4755d65a089 unsat 288.372 298.357 49.188 64.37 167.486 88.987 152.475 247.004 246.49 254.278 62.191 105.069 150.935 29.117
d2928758b3edd17ebde60f158c520442 unsat timeout timeout 513.301 524.728 4392.03 2679.496 1216.005 timeout timeout 2763.396 597.445 1247.625 3173.103 timeout
a977b9a5632108a51c303a648144f5e9 unsat timeout 4434.151 470.283 510.57 3338.673 2729.042 1148.744 timeout timeout 2601.511 410.512 1206.032 3178.878 timeout
931a63080ec1b4a034b0bf3aa4edd6c8 unsat 2962.882 2243.748 334.284 failed 1890.859 1647.907 1017.699 4802.062 4786.082 673.441 337.871 862.634 825.102 2561.656
7e2cceaad4188bcf9a915ebff0835157 unsat 3933.066 4760.234 446.845 470.499 4547.144 2066.334 1840.554 timeout timeout 2782.282 457.634 1247.899 2737.669 timeout
47b7849bdc0eefee88c791a9ced970af unsat timeout timeout 523.366 628.232 4422.281 2817.573 2090.768 timeout timeout 3785.468 442.697 1756.983 3230.291 timeout
8abb66e873f3f161eaa26ea46c52987e unsat 2778.86 3620.003 failed 435.506 3384.755 1549.887 1075.545 timeout timeout 2288.16 348.186 1103.827 2047.929 3000.809
08abbb56b2345b2da7af8866a4e8ad44 unsat timeout timeout 455.856 484.007 4091.916 2139.373 1137.675 timeout timeout 2078.197 428.296 1305.051 3445.696 timeout
3354c5f91c523cfc42dab6a40129d102 sat timeout timeout 195.28 667.762 1830.903 timeout timeout timeout timeout timeout 608.954 timeout timeout timeout
849878639fdefb334f90392a4cfc1548 sat 176.511 154.547 101.779 104.477 718.783 2324.713 320.351 timeout timeout 1650.518 2810.097 385.085 timeout 970.341
1446548d272c0b28fb40225c50d743a5 sat 260.524 114.516 192.267 3790.524 1547.506 3567.039 780.036 timeout timeout 350.277 418.249 3234.716 timeout 1328.409
602a8ce027e4e0fb19f782c576516bb7 sat 252.595 461.67 3103.935 1259.444 timeout timeout 883.919 timeout timeout 2293.546 206.497 794.72 timeout 1764.554
9c43b8ab458d810c54ea7e5d3a967fc0 sat 610.725 916.843 112.366 286.135 280.056 679.188 874.234 timeout timeout 302.949 timeout 349.044 timeout 166.187
885a46fd38d5cb4388406ee286babc5e sat 936.682 187.537 138.514 101.493 61.674 1344.505 1867.911 522.388 508.614 809.017 775.307 timeout timeout 128.497
84ee8c52086baae8850e88cde56f4af9 sat 1327.999 4008.51 946.429 646.943 222.158 3068.697 timeout timeout timeout 984.996 194.341 timeout timeout 995.387
3c0e26a50e17f2aee72383f5dfe81ee4 sat 1592.793 191.516 356.311 623.666 607.22 1386.523 595.016 timeout timeout 1319.823 32.439 4024.583 timeout 1206.397
e7a41d4d4a3a68de583fa98376bf43f2 sat 156.547 431.599 1807.497 1649.828 940.221 1502.676 3976.122 timeout timeout timeout 145.594 timeout timeout 2588.839
6fc6c472b92f70f845c8d75c8268d44a sat 85.566 67.542 112.415 117.504 338.195 1587.621 2056.567 4284.566 4300.26 1677.925 966.427 2165.796 timeout 33.144
b51583e32432c5778c7e3e996c3bfeba sat 168.159 174.249 19.907 64.209 3.018 198.823 17.128 141.178 141.084 53 40.343 9.352 146.037 4.553
09f4f1e3047315b5ef2690fffb7ccf7a unknown timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout timeout
